"","lon","lat","species"
"785",-118.210556,35.0686109991124,"Ephedra nevadensis"
"787",-115.720544,34.239282,"Ephedra californica"
"788",-116.33034,35.98702,"Ephedra funerea"
"789",-116.228035,34.0444119991244,"Ephedra nevadensis"
"794",-118.43194,34.42083,"Ephedra nevadensis"
"802",-118.38,37.127222,"Ephedra viridis"
"804",-116.34449,33.02846,"Ephedra aspera"
"805",-118.475278,37.35,"Ephedra nevadensis"
"806",-120.717778,36.575,"Ephedra californica"
"808",-116.767778,34.269722,"Ephedra viridis"
"809",-116.485,34.2444439991219,"Ephedra californica"
"812",-116.76783,34.26981,"Ephedra viridis"
"814",-118.38015,37.12745,"Ephedra viridis"
"815",-116.56789,32.67239,"Ephedra californica"
"817",-116.503056,34.2477779991219,"Ephedra nevadensis"
"820",-120.71778,36.575,"Ephedra californica"
"823",-117.801944,34.396944,"Ephedra viridis"
"825",-120.83806,36.55111,"Ephedra californica"
"826",-116.76978,34.2519299991218,"Ephedra viridis"
"827",-120.838056,36.551111,"Ephedra californica"
"829",-116.4851,34.24472,"Ephedra californica"
"830",-117.80194,34.39694,"Ephedra viridis"
"832",-116.45595,33.01395,"Ephedra aspera"
"834",-116.56791,32.67241,"Ephedra californica"
"837",-116.78712,34.2867999991214,"Ephedra viridis"
"839",-116.78711,34.28681,"Ephedra viridis"
"843",-110.38351,40.15598,"Ephedra torreyana"
"851",-116.27456,32.75647,"Ephedra californica"
"854",-116.96722,39.42255,"Ephedra viridis"
"858",-116.96722,39.42256,"Ephedra viridis"
"865",-119.725278,34.808889,"Ephedra viridis"
"891",-115.721042,33.6813459991289,"Ephedra trifurca"
"914",-116.10605,32.65769,"Ephedra aspera"
"929",-110.180833,31.571111,"Ephedra torreyana"
"940",-120.731944,36.577222,"Ephedra californica"
"943",-115.70806,34.26111,"Ephedra californica"
"948",-116.499,34.8119999991153,"Ephedra californica"
"955",-116.10778,32.64833,"Ephedra californica"
"958",-115.35731,35.14311,"Ephedra viridis"
"961",-108.980218,39.311969,"Ephedra torreyana"
"964",-115.4634,35.0786,"Ephedra viridis"
"965",-115.708056,34.2611109991217,"Ephedra californica"
"967",-108.985245,39.302524,"Ephedra torreyana"
"969",-120.73194,36.57722,"Ephedra californica"
"977",-116.078338,33.9447089991256,"Ephedra californica"
"980",-116.212,33.38061,"Ephedra aspera"
"983",-108.612843,38.995779,"Ephedra viridis"
"986",-118.79194,34.83056,"Ephedra viridis"
"987",-118.79389,34.82917,"Ephedra viridis"
"988",-108.982402,38.712543,"Ephedra torreyana"
"995",-108.990886,38.714514,"Ephedra torreyana"
"997",-118.61008,42.16176,"Ephedra nevadensis"
"1004",-108.738488,40.790124,"Ephedra viridis"
"1006",-104.9619,39.73193,"Ephedra equisetina"
"1007",-108.982472,38.702299,"Ephedra viridis"
"1012",-118.610081,42.161761,"Ephedra nevadensis"
"1019",-106.4656,31.8275,"Ephedra aspera"
"1023",-119.041389,37.941667,"Ephedra nevadensis"
"1033",-115.6858,34.7145,"Ephedra californica"
"1034",-116.433333,34.189167,"Ephedra aspera"
"1044",-116.4254,33.373,"Ephedra californica"
"1051",-116.384037,33.9403229991256,"Ephedra californica"
"1052",-115.595047,33.7236889991283,"Ephedra nevadensis"
"1054",-116.1376,32.7296,"Ephedra californica"
"1058",-120.9419,36.831573,"Ephedra californica"
"1063",-116.145,32.7297,"Ephedra californica"
"1071",-115.51694,34.94333,"Ephedra aspera"
"1086",-116.479555512299,34.0666080602357,"Ephedra californica"
"1088",-116.254154,34.1187589991235,"Ephedra californica"
"1098",-116.4208,32.9819,"Ephedra aspera"
"1111",-116.51833,34.25611,"Ephedra nevadensis"
"1115",-116.518333,34.2558329991218,"Ephedra nevadensis"
"1116",-116.35375,32.94495,"Ephedra aspera"
"1117",-116.47086,33.1521,"Ephedra californica"
"1118",-116.4763,33.152,"Ephedra californica"
"1119",-116.4101,33.1362,"Ephedra californica"
"1120",-116.518333,34.2558329991218,"Ephedra viridis"
"1128",-116.41121,33.04,"Ephedra aspera"
"1158",-118.5064,35.7225,"Ephedra viridis"
"1182",-116.4304,34.2062,"Ephedra californica"
"1190",-116.35763,33.05206,"Ephedra californica"
"1208",-116.23204,32.71219,"Ephedra californica"
"1209",-114.779444,34.311667,"Ephedra aspera"
"1210",-115.326389,33.625556,"Ephedra aspera"
"1212",-117.1206,33.3344,"Ephedra californica"
"1213",-115.393878,34.0844499991239,"Ephedra aspera"
"1219",-115.29306,33.62556,"Ephedra aspera"
"1220",-115.331667,33.6255559991296,"Ephedra aspera"
"1222",-115.326389,33.6255559991296,"Ephedra aspera"
"1224",-115.50067,33.29539,"Ephedra trifurca"
"1226",-115.290567576707,33.6299981998148,"Ephedra aspera"
"1232",-115.50278,33.29667,"Ephedra trifurca"
"1233",-116.021944,34.668889,"Ephedra californica"
"1238",-105.833333,31.55,"Ephedra aspera"
"1239",-116.38333,35.03333,"Ephedra trifurca"
"1241",-115.877222,34.310278,"Ephedra nevadensis"
"1243",-116.81667,33.91667,"Ephedra californica"
"1244",-115.87722,34.31027,"Ephedra fasciculata"
"1245",-115.877222,34.310278,"Ephedra fasciculata"
"1246",-116.7374,34.6299,"Ephedra viridis"
"1247",-116.816667,33.916667,"Ephedra californica"
"1248",-116.39722,33.35833,"Ephedra californica"
"1249",-115.87722,34.31027,"Ephedra nevadensis"
